,Brand,Owner,kilometers,Fuel,Transmission,Model,Price
1413,2015 Maruti Ertiga,1st Owner,"52,870 km",Diesel,Manual,ZDI Manual,"₹6,37,999"
1414,2018 Ford Figo Aspire,1st Owner,"39,845 km",Petrol,Manual,1.2 TITANIUM PETROL Manual,"₹5,56,999"
1415,2013 Toyota Fortuner,1st Owner,"1,97,792 km",Diesel,Automatic,3.0 AT 4X2 Automatic,"₹12,09,699"
1416,2017 Toyota Fortuner,1st Owner,"92,357 km",Diesel,Manual,2.8 4x2 MT Manual,"₹26,43,799"
1417,2019 MG HECTOR,1st Owner,"7,748 km",Petrol,,SHARP DCT PETROL,"₹17,98,799"
1418,2019 MG HECTOR,1st Owner,"8,683 km",Petrol,Manual,SHARP HYBIRD PETROL MT Manual,"₹16,11,399"
1419,2016 Maruti Vitara Brezza,1st Owner,"54,460 km",Diesel,Manual,ZDI Manual,"₹7,30,899"
1420,2016 Hyundai Elite i20,2nd Owner,"36,328 km",Petrol,Manual,ASTA 1.2 (O) Manual,"₹5,78,099"
1421,2017 Hyundai Elite i20,2nd Owner,"19,791 km",Petrol,Manual,Magna Executive 1.2 Manual,"₹5,53,299"
1422,2017 Ford Ecosport,1st Owner,"20,923 km",Petrol,Automatic,1.5 TITANIUM TI VCT AT Automatic,"₹7,84,199"
1423,2017 Hyundai Elite i20,1st Owner,"47,175 km",Diesel,Manual,SPORTZ 1.4 Manual,"₹6,13,899"
1424,2013 Hyundai Grand i10,1st Owner,"43,986 km",Petrol,Manual,MAGNA 1.2 VTVT Manual,"₹3,95,299"
1425,2014 Renault Duster,1st Owner,"74,222 km",Diesel,Manual,RXL 110 PS ADVENTURE Manual,"₹4,55,499"
1426,2019 MG HECTOR,2nd Owner,"21,150 km",Petrol,Automatic,SHARP DCT PETROL Automatic,"₹14,87,799"
1427,2020 Honda City,1st Owner,"11,839 km",Petrol,Automatic,ZX CVT Automatic,"₹14,06,299"
1428,2016 Honda Brio,1st Owner,"1,24,310 km",Petrol,Manual,1.2 VX MT I VTEC Manual,"₹3,53,099"
1429,2018 Hyundai Grand i10,1st Owner,"63,295 km",Petrol,,Sports (O) 1.2 AT VTVT,"₹5,19,699"
1430,2012 Maruti Swift,2nd Owner,"1,20,326 km",Diesel,Manual,VDI Manual,"₹2,60,099"
1431,2017 Ford Ecosport,1st Owner,"45,923 km",Diesel,Manual,1.5TITANIUM TDCI Manual,"₹6,54,399"
1432,2015 Toyota Etios,1st Owner,"29,387 km",Diesel,Manual,CROSS VD Manual,"₹5,03,799"
1433,2018 Hyundai Elite i20,1st Owner,"9,707 km",Petrol,,Magna Executive 1.2 AT,"₹7,01,699"
1434,2016 Maruti Swift Dzire,2nd Owner,"79,048 km",Diesel,Manual,VDI ABS Manual,"₹5,01,899"
1435,2017 Hyundai Elite i20,1st Owner,"46,042 km",Petrol,Manual,ASTA 1.2 (O) Manual,"₹6,37,599"
1436,2012 Honda Brio,1st Owner,"27,194 km",Petrol,Manual,1.2 V MT I VTEC Manual,"₹3,11,999"
1437,2019 Maruti Dzire,1st Owner,"41,053 km",Petrol,Manual,VXI Manual,"₹6,31,899"
1438,2017 Ford Ecosport,1st Owner,"37,026 km",Petrol,Manual,1.0 ECOBOOST TITANIUM OPT Manual,"₹7,12,299"
1439,2017 Maruti S Cross,2nd Owner,"96,542 km",Diesel,Manual,ALPHA SHVS Manual,"₹8,45,999"
1440,2017 Ford Ecosport,1st Owner,"36,421 km",Diesel,Manual,1.5TITANIUM TDCI Manual,"₹6,82,699"
1441,2012 Toyota Fortuner,1st Owner,"1,46,017 km",Diesel,Manual,3.0 MT 4X2 Manual,"₹10,72,299"
1442,2017 Maruti Baleno,1st Owner,"45,688 km",Petrol,Manual,DELTA 1.2 K12 Manual,"₹5,67,099"
1443,2017 Ford Ecosport,1st Owner,"63,429 km",Diesel,Manual,1.5 TREND+ TDCI Manual,"₹6,28,999"
1444,2020 Maruti S PRESSO,1st Owner,"8,239 km",Petrol,,VXI PLUS,"₹4,76,499"
1445,2017 Maruti Baleno,1st Owner,"62,283 km",Diesel,Manual,DELTA DDIS 190 Manual,"₹5,39,599"
1446,2017 Ford Ecosport,1st Owner,"18,458 km",Petrol,Manual,1.5 TITANIUM TI VCT Manual,"₹7,16,699"
1447,2016 Ford Ecosport,1st Owner,"27,829 km",Petrol,Manual,1.5 TITANIUM TI VCT Manual,"₹7,15,099"
1448,2018 Ford Ecosport,1st Owner,"42,231 km",Diesel,Manual,1.5TITANIUM TDCI Manual,"₹8,45,399"
1449,2016 Ford Ecosport,1st Owner,"53,201 km",Petrol,Manual,1.5 TITANIUM TI VCT Manual,"₹6,94,099"
1450,2015 Hyundai Grand i10,1st Owner,"73,907 km",Diesel,Manual,SPORTZ 1.1 CRDI Manual,"₹3,57,899"
1451,2015 Hyundai Grand i10,1st Owner,"86,636 km",Diesel,Manual,SPORTZ 1.1 CRDI Manual,"₹3,54,399"
1452,2012 Honda Brio,1st Owner,"46,959 km",Petrol,Manual,1.2 S MT I VTEC Manual,"₹2,81,999"
1453,2018 Ford Ecosport,1st Owner,"28,379 km",Diesel,Manual,1.5TITANIUM TDCI Manual,"₹8,41,399"
